Log Values
Reading , Values
11/03/2019 11:19:01,26.182°C
11/03/2019 11:39:01,26.682°C
11/03/2019 11:59:01,26.619°C
11/03/2019 12:19:01,26.869°C
11/03/2019 12:39:01,26.619°C
11/03/2019 12:59:01,26.432°C
11/03/2019 13:19:01,26.432°C
11/03/2019 13:39:01,26.182°C
11/03/2019 13:59:01,26.119°C
11/03/2019 14:19:01,25.932°C
11/03/2019 14:39:01,25.807°C
11/03/2019 14:59:01,25.869°C
11/03/2019 15:19:01,25.619°C
11/03/2019 15:39:01,25.307°C
11/03/2019 15:59:01,25.557°C
11/03/2019 16:19:01,25.744°C
11/03/2019 16:39:01,25.869°C
11/03/2019 16:59:01,25.682°C
11/03/2019 17:19:01,25.619°C
11/03/2019 17:39:01,25.557°C
11/03/2019 17:59:01,25.432°C
11/03/2019 18:19:01,25.244°C
11/03/2019 18:39:01,25.119°C
11/03/2019 18:59:01,25.119°C
11/03/2019 19:19:01,25.119°C
11/03/2019 19:39:01,25.057°C
11/03/2019 19:59:01,25.057°C
11/03/2019 20:19:01,25.119°C
11/03/2019 20:39:01,25.119°C
11/03/2019 20:59:01,25.182°C
11/03/2019 21:19:01,25.057°C
11/03/2019 21:39:01,25.057°C
11/03/2019 21:59:01,25.057°C
11/03/2019 22:19:01,25.057°C
11/03/2019 22:39:01,25.057°C
11/03/2019 22:59:01,25.057°C
11/03/2019 23:19:01,25.119°C
11/03/2019 23:39:01,25.119°C
11/03/2019 23:59:01,25.119°C
12/03/2019 00:19:01,25.182°C
12/03/2019 00:39:01,24.932°C
12/03/2019 00:59:01,24.807°C
12/03/2019 01:19:01,24.869°C
12/03/2019 01:39:01,24.994°C
12/03/2019 01:59:01,24.994°C
12/03/2019 02:19:01,25.119°C
12/03/2019 02:39:01,25.057°C
12/03/2019 02:59:01,24.932°C
12/03/2019 03:19:01,24.869°C
12/03/2019 03:39:01,24.744°C
12/03/2019 03:59:01,24.682°C
12/03/2019 04:19:01,24.557°C
12/03/2019 04:39:01,24.432°C
12/03/2019 04:59:01,24.306°C
12/03/2019 05:19:01,24.244°C
12/03/2019 05:39:01,24.181°C
12/03/2019 05:59:01,24.244°C
12/03/2019 06:19:01,24.181°C
12/03/2019 06:39:01,24.244°C
12/03/2019 06:59:01,24.244°C
12/03/2019 07:19:01,24.306°C
12/03/2019 07:39:01,24.619°C
12/03/2019 07:59:01,24.807°C
12/03/2019 08:19:01,25.057°C
12/03/2019 08:39:01,25.369°C
12/03/2019 08:59:01,25.557°C
12/03/2019 09:19:01,25.932°C
12/03/2019 09:39:01,26.307°C
12/03/2019 09:59:01,26.619°C
12/03/2019 10:19:01,26.994°C
12/03/2019 10:39:01,27.181°C
12/03/2019 10:59:01,27.369°C
12/03/2019 11:19:01,27.744°C
12/03/2019 11:39:01,28.618°C
12/03/2019 11:59:01,28.181°C
12/03/2019 12:19:01,28.119°C
12/03/2019 12:39:01,28.181°C
12/03/2019 12:59:01,28.243°C
12/03/2019 13:19:01,29.18°C
12/03/2019 13:39:01,30.117°C
12/03/2019 13:59:01,29.617°C
12/03/2019 14:19:01,28.618°C
12/03/2019 14:39:01,28.119°C
12/03/2019 14:59:01,27.869°C
12/03/2019 15:19:01,27.619°C
12/03/2019 15:39:01,27.494°C
12/03/2019 15:59:01,27.244°C
12/03/2019 16:19:01,27.119°C
12/03/2019 16:39:01,26.994°C
12/03/2019 16:59:01,26.869°C
12/03/2019 17:19:01,26.744°C
12/03/2019 17:39:01,26.619°C
12/03/2019 17:59:01,26.619°C
12/03/2019 18:19:01,26.432°C
12/03/2019 18:39:01,26.182°C
12/03/2019 18:59:01,25.869°C
12/03/2019 19:19:01,25.557°C
12/03/2019 19:39:01,25.307°C
12/03/2019 19:59:01,25.182°C
12/03/2019 20:19:01,24.869°C
12/03/2019 20:39:01,24.619°C
12/03/2019 20:59:01,24.432°C
12/03/2019 21:19:01,24.306°C
12/03/2019 21:39:01,24.181°C
12/03/2019 21:59:01,24.119°C
12/03/2019 22:19:01,24.119°C
12/03/2019 22:39:01,24.119°C
12/03/2019 22:59:01,24.119°C
12/03/2019 23:19:01,24.119°C
12/03/2019 23:39:01,23.869°C
12/03/2019 23:59:01,23.744°C
13/03/2019 00:19:01,23.556°C
13/03/2019 00:39:01,23.431°C
13/03/2019 00:59:01,23.369°C
13/03/2019 01:19:01,23.306°C
13/03/2019 01:39:01,23.556°C
13/03/2019 01:59:01,23.681°C
13/03/2019 02:19:01,23.806°C
13/03/2019 02:39:01,24.056°C
13/03/2019 02:59:01,24.244°C
13/03/2019 03:19:01,24.306°C
13/03/2019 03:39:01,24.869°C
13/03/2019 03:59:01,25.057°C
13/03/2019 04:19:01,25.119°C
13/03/2019 04:39:01,24.807°C
13/03/2019 04:59:01,24.682°C
13/03/2019 05:19:01,24.557°C
13/03/2019 05:39:01,24.432°C
13/03/2019 05:59:01,24.244°C
13/03/2019 06:19:01,24.181°C
13/03/2019 06:39:01,24.244°C
13/03/2019 06:59:01,24.306°C
13/03/2019 07:19:01,24.306°C
13/03/2019 07:39:01,24.369°C
13/03/2019 07:59:01,24.682°C
13/03/2019 08:19:01,24.994°C
13/03/2019 08:39:01,25.182°C
13/03/2019 08:59:01,25.369°C
13/03/2019 09:19:01,25.744°C
13/03/2019 09:39:01,26.119°C
13/03/2019 09:59:01,25.994°C
13/03/2019 10:19:01,26.182°C
13/03/2019 10:39:01,26.682°C
13/03/2019 10:59:01,26.994°C
13/03/2019 11:19:01,27.556°C
13/03/2019 11:39:01,27.994°C
13/03/2019 11:59:01,27.806°C
13/03/2019 12:19:01,27.931°C
13/03/2019 12:39:01,28.368°C
13/03/2019 12:59:01,28.556°C
13/03/2019 13:19:01,29.555°C
13/03/2019 13:39:01,30.367°C
13/03/2019 13:59:01,29.992°C
13/03/2019 14:19:01,29.118°C
13/03/2019 14:39:01,28.556°C
13/03/2019 14:59:01,28.181°C
13/03/2019 15:19:01,27.869°C
13/03/2019 15:39:01,27.681°C
13/03/2019 15:59:01,27.681°C
13/03/2019 16:19:01,27.556°C
13/03/2019 16:39:01,27.306°C
13/03/2019 16:59:01,27.181°C
13/03/2019 17:19:01,27.056°C
13/03/2019 17:39:01,26.869°C
13/03/2019 17:59:01,26.682°C
13/03/2019 18:19:01,26.432°C
13/03/2019 18:39:01,26.182°C
13/03/2019 18:59:01,25.807°C
13/03/2019 19:19:01,25.432°C
13/03/2019 19:39:01,25.119°C
13/03/2019 19:59:01,25.057°C
13/03/2019 20:19:01,24.869°C
13/03/2019 20:39:01,24.807°C
13/03/2019 20:59:01,24.682°C
13/03/2019 21:19:01,24.682°C
13/03/2019 21:39:01,24.682°C
13/03/2019 21:59:01,24.744°C
13/03/2019 22:19:01,24.744°C
13/03/2019 22:39:01,24.682°C
13/03/2019 22:59:01,24.744°C
13/03/2019 23:19:01,24.807°C
13/03/2019 23:39:01,24.807°C
13/03/2019 23:59:01,24.869°C
14/03/2019 00:19:01,24.932°C
14/03/2019 00:39:01,24.932°C
14/03/2019 00:59:01,24.932°C
14/03/2019 01:19:01,24.869°C
14/03/2019 01:39:01,24.744°C
14/03/2019 01:59:01,24.682°C
14/03/2019 02:19:01,24.807°C
14/03/2019 02:39:01,24.932°C
14/03/2019 02:59:01,24.932°C
14/03/2019 03:19:01,24.932°C
14/03/2019 03:39:01,24.932°C
14/03/2019 03:59:01,24.807°C
14/03/2019 04:19:01,24.744°C
14/03/2019 04:39:01,24.619°C
14/03/2019 04:59:01,24.557°C
14/03/2019 05:19:01,24.432°C
14/03/2019 05:39:01,24.244°C
14/03/2019 05:59:01,24.119°C
14/03/2019 06:19:01,23.806°C
14/03/2019 06:39:01,23.806°C
14/03/2019 06:59:01,23.931°C
14/03/2019 07:19:01,23.931°C
14/03/2019 07:39:01,24.181°C
14/03/2019 07:59:01,24.619°C
14/03/2019 08:19:01,24.932°C
14/03/2019 08:39:01,25.432°C
14/03/2019 08:59:01,25.682°C
14/03/2019 09:19:01,26.307°C
14/03/2019 09:39:01,26.682°C
14/03/2019 09:59:01,26.807°C
14/03/2019 10:19:01,27.181°C
14/03/2019 10:39:01,27.494°C
14/03/2019 10:59:01,27.619°C
14/03/2019 11:19:01,28.056°C
14/03/2019 11:39:01,28.493°C
14/03/2019 11:59:01,28.368°C
14/03/2019 12:19:01,28.431°C
14/03/2019 12:39:01,28.181°C
14/03/2019 12:59:01,28.056°C
14/03/2019 13:19:01,28.743°C
14/03/2019 13:39:01,29.43°C
14/03/2019 13:59:01,29.118°C
14/03/2019 14:19:01,28.556°C
14/03/2019 14:39:01,28.181°C
14/03/2019 14:59:01,27.931°C
14/03/2019 15:19:01,27.869°C
14/03/2019 15:39:01,27.681°C
14/03/2019 15:59:01,27.556°C
14/03/2019 16:19:01,27.431°C
14/03/2019 16:39:01,27.369°C
14/03/2019 16:59:01,27.306°C
14/03/2019 17:19:01,27.119°C
14/03/2019 17:39:01,27.056°C
14/03/2019 17:59:01,26.931°C
14/03/2019 18:19:01,26.869°C
14/03/2019 18:39:01,26.744°C
14/03/2019 18:59:01,26.557°C
14/03/2019 19:19:01,26.307°C
14/03/2019 19:39:01,26.182°C
14/03/2019 19:59:01,26.119°C
14/03/2019 20:19:01,25.994°C
14/03/2019 20:39:01,25.994°C
14/03/2019 20:59:01,25.932°C
14/03/2019 21:19:01,25.869°C
14/03/2019 21:39:01,25.744°C
14/03/2019 21:59:01,25.744°C
14/03/2019 22:19:01,25.682°C
14/03/2019 22:39:01,25.619°C
14/03/2019 22:59:01,25.619°C
14/03/2019 23:19:01,25.557°C
14/03/2019 23:39:01,25.494°C
14/03/2019 23:59:01,25.369°C
15/03/2019 00:19:01,25.369°C
15/03/2019 00:39:01,25.244°C
15/03/2019 00:59:01,25.307°C
15/03/2019 01:19:01,25.244°C
15/03/2019 01:39:01,25.182°C
15/03/2019 01:59:01,24.994°C
15/03/2019 02:19:01,24.994°C
15/03/2019 02:39:01,24.932°C
15/03/2019 02:59:01,24.994°C
15/03/2019 03:19:01,24.994°C
15/03/2019 03:39:01,24.994°C
15/03/2019 03:59:01,25.057°C
15/03/2019 04:19:01,24.932°C
15/03/2019 04:39:01,24.744°C
15/03/2019 04:59:01,24.744°C
15/03/2019 05:19:01,24.744°C
15/03/2019 05:39:01,24.807°C
15/03/2019 05:59:01,24.744°C
15/03/2019 06:19:01,24.557°C
15/03/2019 06:39:01,24.369°C
15/03/2019 06:59:01,24.369°C
15/03/2019 07:19:01,24.557°C
15/03/2019 07:39:01,24.807°C
15/03/2019 07:59:01,25.119°C
15/03/2019 08:19:01,25.557°C
15/03/2019 08:39:01,25.869°C
15/03/2019 08:59:01,25.932°C
15/03/2019 09:19:01,25.932°C
15/03/2019 09:39:01,26.369°C
15/03/2019 09:59:01,26.557°C
15/03/2019 10:19:01,26.432°C
15/03/2019 10:39:01,26.432°C
15/03/2019 10:59:01,26.682°C
15/03/2019 11:19:01,27.244°C
15/03/2019 11:39:01,27.369°C
15/03/2019 11:59:01,27.619°C
15/03/2019 12:19:01,27.619°C
15/03/2019 12:39:01,27.806°C
15/03/2019 12:59:01,27.994°C
15/03/2019 13:19:01,28.368°C
15/03/2019 13:39:01,29.055°C
15/03/2019 13:59:01,28.993°C
15/03/2019 14:19:01,28.618°C
15/03/2019 14:39:01,28.181°C
15/03/2019 14:59:01,27.994°C
15/03/2019 15:19:01,27.744°C
15/03/2019 15:39:01,27.869°C
15/03/2019 15:59:01,27.681°C
15/03/2019 16:19:01,27.369°C
15/03/2019 16:39:01,27.181°C
15/03/2019 16:59:01,26.994°C
15/03/2019 17:19:01,26.994°C
15/03/2019 17:39:01,26.931°C
15/03/2019 17:59:01,26.744°C
15/03/2019 18:19:01,26.619°C
15/03/2019 18:39:01,26.494°C
15/03/2019 18:59:01,26.307°C
15/03/2019 19:19:01,26.057°C
15/03/2019 19:39:01,25.869°C
15/03/2019 19:59:01,25.682°C
15/03/2019 20:19:01,25.494°C
15/03/2019 20:39:01,25.557°C
15/03/2019 20:59:01,25.557°C
15/03/2019 21:19:01,25.619°C
15/03/2019 21:39:01,25.494°C
15/03/2019 21:59:01,25.369°C
15/03/2019 22:19:01,25.369°C
15/03/2019 22:39:01,25.369°C
15/03/2019 22:59:01,25.432°C
15/03/2019 23:19:01,25.432°C
15/03/2019 23:39:01,25.369°C
15/03/2019 23:59:01,25.307°C
16/03/2019 00:19:01,25.182°C
16/03/2019 00:39:01,25.119°C
16/03/2019 00:59:01,25.119°C
16/03/2019 01:19:01,25.057°C
16/03/2019 01:39:01,25.057°C
16/03/2019 01:59:01,25.057°C
16/03/2019 02:19:01,25.119°C
16/03/2019 02:39:01,25.119°C
16/03/2019 02:59:01,25.119°C
16/03/2019 03:19:01,25.182°C
16/03/2019 03:39:01,25.057°C
16/03/2019 03:59:01,25.057°C
16/03/2019 04:19:01,25.119°C
16/03/2019 04:39:01,25.057°C
16/03/2019 04:59:01,24.869°C
16/03/2019 05:19:01,24.682°C
16/03/2019 05:39:01,24.682°C
16/03/2019 05:59:01,24.619°C
16/03/2019 06:19:01,24.557°C
16/03/2019 06:39:01,24.619°C
16/03/2019 06:59:01,24.682°C
16/03/2019 07:19:01,24.744°C
16/03/2019 07:39:01,24.869°C
16/03/2019 07:59:01,25.057°C
16/03/2019 08:19:01,25.244°C
16/03/2019 08:39:01,25.619°C
16/03/2019 08:59:01,25.807°C
16/03/2019 09:19:01,25.807°C
16/03/2019 09:39:01,26.244°C
16/03/2019 09:59:01,26.619°C
16/03/2019 10:19:01,26.557°C
16/03/2019 10:39:01,26.807°C
16/03/2019 10:59:01,26.744°C
16/03/2019 11:19:01,27.306°C
16/03/2019 11:39:01,27.869°C
16/03/2019 11:59:01,27.806°C
16/03/2019 12:19:01,27.869°C
16/03/2019 12:39:01,28.368°C
16/03/2019 12:59:01,28.868°C
16/03/2019 13:19:01,28.806°C
16/03/2019 13:39:01,29.43°C
16/03/2019 13:59:01,29.18°C
16/03/2019 14:19:01,28.743°C
16/03/2019 14:39:01,28.431°C
16/03/2019 14:59:01,27.931°C
16/03/2019 15:19:01,27.869°C
16/03/2019 15:39:01,27.806°C
16/03/2019 15:59:01,27.806°C
16/03/2019 16:19:01,27.556°C
16/03/2019 16:39:01,27.306°C
16/03/2019 16:59:01,27.181°C
16/03/2019 17:19:01,27.181°C
16/03/2019 17:39:01,26.557°C
16/03/2019 17:59:01,26.244°C
16/03/2019 18:19:01,26.182°C
16/03/2019 18:39:01,26.057°C
16/03/2019 18:59:01,25.807°C
16/03/2019 19:19:01,25.619°C
16/03/2019 19:39:01,25.494°C
16/03/2019 19:59:01,25.432°C
16/03/2019 20:19:01,25.369°C
16/03/2019 20:39:01,25.244°C
16/03/2019 20:59:01,25.182°C
16/03/2019 21:19:01,25.182°C
16/03/2019 21:39:01,25.244°C
16/03/2019 21:59:01,25.307°C
16/03/2019 22:19:01,25.307°C
16/03/2019 22:39:01,25.182°C
16/03/2019 22:59:01,25.057°C
16/03/2019 23:19:01,24.932°C
16/03/2019 23:39:01,24.807°C
16/03/2019 23:59:01,24.682°C
17/03/2019 00:19:01,24.744°C
17/03/2019 00:39:01,24.807°C
17/03/2019 00:59:01,24.807°C
17/03/2019 01:19:01,24.807°C
17/03/2019 01:39:01,24.932°C
17/03/2019 01:59:01,24.932°C
17/03/2019 02:19:01,24.932°C
17/03/2019 02:39:01,24.994°C
17/03/2019 02:59:01,24.932°C
17/03/2019 03:19:01,24.807°C
17/03/2019 03:39:01,24.682°C
17/03/2019 03:59:01,24.557°C
17/03/2019 04:19:01,24.557°C
17/03/2019 04:39:01,24.306°C
17/03/2019 04:59:01,24.306°C
17/03/2019 05:19:01,24.244°C
17/03/2019 05:39:01,24.056°C
17/03/2019 05:59:01,24.119°C
17/03/2019 06:19:01,24.244°C
17/03/2019 06:39:01,24.244°C
17/03/2019 06:59:01,24.306°C
17/03/2019 07:19:01,24.557°C
17/03/2019 07:39:01,24.744°C
17/03/2019 07:59:01,24.994°C
17/03/2019 08:19:01,25.244°C
17/03/2019 08:39:01,25.557°C
17/03/2019 08:59:01,25.744°C
17/03/2019 09:19:01,25.744°C
17/03/2019 09:39:01,25.807°C
17/03/2019 09:59:01,25.807°C
17/03/2019 10:19:01,25.869°C
17/03/2019 10:39:01,26.119°C
17/03/2019 10:59:01,26.182°C
17/03/2019 11:19:01,26.057°C
17/03/2019 11:39:01,26.682°C
17/03/2019 11:59:01,26.682°C
17/03/2019 12:19:01,26.931°C
17/03/2019 12:39:01,27.181°C
17/03/2019 12:59:01,27.494°C
17/03/2019 13:19:01,27.306°C
17/03/2019 13:39:01,27.369°C
17/03/2019 13:59:01,27.306°C
17/03/2019 14:19:01,26.557°C
17/03/2019 14:39:01,25.682°C
17/03/2019 14:59:01,25.494°C
17/03/2019 15:19:01,26.119°C
17/03/2019 15:39:01,26.307°C
17/03/2019 15:59:01,26.369°C
17/03/2019 16:19:01,26.119°C
17/03/2019 16:39:01,25.932°C
17/03/2019 16:59:01,26.057°C
17/03/2019 17:19:01,25.869°C
17/03/2019 17:39:01,25.744°C
17/03/2019 17:59:01,25.869°C
17/03/2019 18:19:01,25.432°C
17/03/2019 18:39:01,24.994°C
17/03/2019 18:59:01,24.682°C
17/03/2019 19:19:01,24.494°C
17/03/2019 19:39:01,24.494°C
17/03/2019 19:59:01,24.369°C
17/03/2019 20:19:01,24.306°C
17/03/2019 20:39:01,24.244°C
17/03/2019 20:59:01,24.119°C
17/03/2019 21:19:01,24.181°C
17/03/2019 21:39:01,24.244°C
17/03/2019 21:59:01,24.369°C
17/03/2019 22:19:01,24.432°C
17/03/2019 22:39:01,24.432°C
17/03/2019 22:59:01,24.619°C
17/03/2019 23:19:01,24.682°C
17/03/2019 23:39:01,24.744°C
17/03/2019 23:59:01,24.682°C
18/03/2019 00:19:01,24.807°C
18/03/2019 00:39:01,24.744°C
18/03/2019 00:59:01,24.619°C
18/03/2019 01:19:01,24.557°C
18/03/2019 01:39:01,24.494°C
18/03/2019 01:59:01,24.557°C
18/03/2019 02:19:01,24.619°C
18/03/2019 02:39:01,24.682°C
18/03/2019 02:59:01,24.807°C
18/03/2019 03:19:01,24.807°C
18/03/2019 03:39:01,24.932°C
18/03/2019 03:59:01,25.057°C
18/03/2019 04:19:01,25.057°C
18/03/2019 04:39:01,25.119°C
18/03/2019 04:59:01,25.119°C
18/03/2019 05:19:01,25.182°C
18/03/2019 05:39:01,25.182°C
18/03/2019 05:59:01,24.994°C
18/03/2019 06:19:01,24.932°C
18/03/2019 06:39:01,24.932°C
18/03/2019 06:59:01,24.994°C
18/03/2019 07:19:01,24.932°C
18/03/2019 07:39:01,24.932°C
18/03/2019 07:59:01,24.869°C
18/03/2019 08:19:01,24.869°C
18/03/2019 08:39:01,24.807°C
18/03/2019 08:59:01,25.119°C
18/03/2019 09:19:01,25.307°C
18/03/2019 09:39:01,25.119°C
18/03/2019 09:59:01,24.619°C
18/03/2019 10:19:01,24.557°C
18/03/2019 10:39:01,24.369°C
18/03/2019 10:59:01,24.432°C
18/03/2019 11:19:01,24.619°C
18/03/2019 11:39:01,24.744°C
18/03/2019 11:59:01,24.869°C
18/03/2019 12:19:01,24.994°C
18/03/2019 12:39:01,25.057°C
18/03/2019 12:59:01,24.932°C
18/03/2019 13:19:01,25.119°C
18/03/2019 13:39:01,25.244°C
18/03/2019 13:59:01,25.307°C
18/03/2019 14:19:01,24.994°C
18/03/2019 14:39:01,24.932°C
18/03/2019 14:59:01,24.744°C
18/03/2019 15:19:01,24.869°C
18/03/2019 15:39:01,24.744°C
18/03/2019 15:59:01,24.744°C
18/03/2019 16:19:01,24.682°C
18/03/2019 16:39:01,24.619°C
18/03/2019 16:59:01,24.494°C
18/03/2019 17:19:01,24.619°C
18/03/2019 17:39:01,24.682°C
18/03/2019 17:59:01,24.619°C
18/03/2019 18:19:01,24.557°C
18/03/2019 18:39:01,24.432°C
18/03/2019 18:59:01,24.494°C
18/03/2019 19:19:01,24.557°C
18/03/2019 19:39:01,24.619°C
18/03/2019 19:59:01,24.619°C
18/03/2019 20:19:01,24.432°C
18/03/2019 20:39:01,24.494°C
18/03/2019 20:59:01,24.557°C
18/03/2019 21:19:01,24.807°C
18/03/2019 21:39:01,24.744°C
18/03/2019 21:59:01,24.682°C
18/03/2019 22:19:01,24.682°C
18/03/2019 22:39:01,24.744°C
18/03/2019 22:59:01,24.869°C
18/03/2019 23:19:01,24.932°C
18/03/2019 23:39:01,24.932°C
18/03/2019 23:59:01,24.869°C
19/03/2019 00:19:01,24.807°C
19/03/2019 00:39:01,24.807°C
19/03/2019 00:59:01,24.119°C
19/03/2019 01:19:01,23.681°C
19/03/2019 01:39:01,23.681°C
19/03/2019 01:59:01,23.681°C
19/03/2019 02:19:01,23.869°C
19/03/2019 02:39:01,23.931°C
19/03/2019 02:59:01,24.056°C
19/03/2019 03:19:01,24.181°C
19/03/2019 03:39:01,24.306°C
19/03/2019 03:59:01,24.494°C
19/03/2019 04:19:01,24.682°C
19/03/2019 04:39:01,24.744°C
19/03/2019 04:59:01,24.306°C
19/03/2019 05:19:01,24.369°C
19/03/2019 05:39:01,24.432°C
19/03/2019 05:59:01,24.432°C
19/03/2019 06:19:01,24.432°C
19/03/2019 06:39:01,24.557°C
19/03/2019 06:59:01,24.557°C
19/03/2019 07:19:01,24.807°C
19/03/2019 07:39:01,24.494°C
19/03/2019 07:59:01,24.682°C
19/03/2019 08:19:01,24.932°C
19/03/2019 08:39:01,25.057°C
19/03/2019 08:59:01,24.932°C
19/03/2019 09:19:01,24.869°C
19/03/2019 09:39:01,24.869°C
19/03/2019 09:59:01,24.869°C
19/03/2019 10:19:01,24.932°C
19/03/2019 10:39:01,24.682°C
19/03/2019 10:59:01,24.432°C
19/03/2019 11:19:01,24.557°C
19/03/2019 11:39:01,24.682°C
19/03/2019 11:59:01,24.869°C
19/03/2019 12:19:01,24.932°C
19/03/2019 12:39:01,25.182°C
19/03/2019 12:59:01,25.182°C
19/03/2019 13:19:01,25.369°C
19/03/2019 13:39:01,25.682°C
19/03/2019 13:59:01,25.869°C
19/03/2019 14:19:01,25.994°C
19/03/2019 14:39:01,25.994°C
19/03/2019 14:59:01,25.994°C
19/03/2019 15:19:01,25.994°C
19/03/2019 15:39:01,25.807°C
19/03/2019 15:59:01,24.744°C
19/03/2019 16:19:01,24.619°C
19/03/2019 16:39:01,24.807°C
19/03/2019 16:59:01,24.932°C
19/03/2019 17:19:01,25.057°C
19/03/2019 17:39:01,24.994°C
19/03/2019 17:59:01,25.057°C
19/03/2019 18:19:01,25.119°C
19/03/2019 18:39:01,25.119°C
19/03/2019 18:59:01,25.057°C
19/03/2019 19:19:01,25.119°C
19/03/2019 19:39:01,25.119°C
19/03/2019 19:59:01,25.057°C
19/03/2019 20:19:01,24.994°C
19/03/2019 20:39:01,24.994°C
19/03/2019 20:59:01,24.869°C
19/03/2019 21:19:01,24.869°C
19/03/2019 21:39:01,24.932°C
19/03/2019 21:59:01,24.869°C
19/03/2019 22:19:01,24.807°C
19/03/2019 22:39:01,24.807°C
19/03/2019 22:59:01,24.869°C
19/03/2019 23:19:01,24.807°C
19/03/2019 23:39:01,24.932°C
19/03/2019 23:59:01,24.994°C
20/03/2019 00:19:01,24.869°C
20/03/2019 00:39:01,24.682°C
20/03/2019 00:59:01,24.744°C
20/03/2019 01:19:01,24.869°C
20/03/2019 01:39:01,24.932°C
20/03/2019 01:59:01,24.932°C
20/03/2019 02:19:01,24.932°C
20/03/2019 02:39:01,24.807°C
20/03/2019 02:59:01,24.744°C
20/03/2019 03:19:01,24.744°C
20/03/2019 03:39:01,24.619°C
20/03/2019 03:59:01,24.744°C
20/03/2019 04:19:01,24.807°C
20/03/2019 04:39:01,24.869°C
20/03/2019 04:59:01,24.932°C
20/03/2019 05:19:01,24.807°C
20/03/2019 05:39:01,24.432°C
20/03/2019 05:59:01,24.244°C
20/03/2019 06:19:01,24.306°C
20/03/2019 06:39:01,24.369°C
20/03/2019 06:59:01,24.432°C
20/03/2019 07:19:01,24.682°C
20/03/2019 07:39:01,24.369°C
20/03/2019 07:59:01,24.306°C
20/03/2019 08:19:01,24.369°C
20/03/2019 08:39:01,24.432°C
20/03/2019 08:59:01,24.557°C
20/03/2019 09:19:01,24.619°C
20/03/2019 09:39:01,24.807°C
20/03/2019 09:59:01,24.932°C
20/03/2019 10:19:01,24.994°C
20/03/2019 10:39:01,24.932°C
20/03/2019 10:59:01,24.994°C
20/03/2019 11:19:01,25.057°C
20/03/2019 11:39:01,24.932°C
20/03/2019 11:59:01,24.181°C
20/03/2019 12:19:01,24.119°C
20/03/2019 12:39:01,24.306°C
20/03/2019 12:59:01,24.432°C
20/03/2019 13:19:01,24.682°C
20/03/2019 13:39:01,24.994°C
20/03/2019 13:59:01,25.182°C
20/03/2019 14:19:01,25.244°C
20/03/2019 14:39:01,25.244°C
20/03/2019 14:59:01,25.244°C
20/03/2019 15:19:01,25.244°C
20/03/2019 15:39:01,25.057°C
20/03/2019 15:59:01,25.057°C
20/03/2019 16:19:01,24.744°C
20/03/2019 16:39:01,24.744°C
20/03/2019 16:59:01,24.619°C
20/03/2019 17:19:01,24.494°C
20/03/2019 17:39:01,24.369°C
20/03/2019 17:59:01,24.369°C
20/03/2019 18:19:01,24.181°C
20/03/2019 18:39:01,24.056°C
20/03/2019 18:59:01,23.681°C
20/03/2019 19:19:01,23.869°C
20/03/2019 19:39:01,23.806°C
20/03/2019 19:59:01,23.869°C
20/03/2019 20:19:01,23.931°C
20/03/2019 20:39:01,24.056°C
20/03/2019 20:59:01,24.119°C
20/03/2019 21:19:01,24.119°C
20/03/2019 21:39:01,24.119°C
20/03/2019 21:59:01,24.181°C
20/03/2019 22:19:01,24.181°C
20/03/2019 22:39:01,24.181°C
20/03/2019 22:59:01,24.181°C
20/03/2019 23:19:01,24.306°C
20/03/2019 23:39:01,24.306°C
20/03/2019 23:59:01,24.369°C
21/03/2019 00:19:01,24.432°C
21/03/2019 00:39:01,24.494°C
21/03/2019 00:59:01,24.494°C
21/03/2019 01:19:01,24.557°C
21/03/2019 01:39:01,24.432°C
21/03/2019 01:59:01,24.432°C
21/03/2019 02:19:01,24.369°C
21/03/2019 02:39:01,24.619°C
21/03/2019 02:59:01,24.619°C
21/03/2019 03:19:01,24.619°C
21/03/2019 03:39:01,24.557°C
21/03/2019 03:59:01,24.557°C
21/03/2019 04:19:01,24.619°C
21/03/2019 04:39:01,24.494°C
21/03/2019 04:59:01,24.557°C
21/03/2019 05:19:01,24.619°C
21/03/2019 05:39:01,24.557°C
21/03/2019 05:59:01,24.494°C
21/03/2019 06:19:01,24.432°C
21/03/2019 06:39:01,24.432°C
21/03/2019 06:59:01,24.369°C
21/03/2019 07:19:01,24.369°C
21/03/2019 07:39:01,24.432°C
21/03/2019 07:59:01,24.557°C
21/03/2019 08:19:01,24.494°C
21/03/2019 08:39:01,24.432°C
21/03/2019 08:59:01,24.369°C
21/03/2019 09:19:01,24.306°C
21/03/2019 09:39:01,24.181°C
21/03/2019 09:59:01,24.244°C
21/03/2019 10:19:01,24.119°C
21/03/2019 10:39:01,24.056°C
21/03/2019 10:59:01,24.119°C
21/03/2019 11:19:01,24.119°C
21/03/2019 11:39:01,24.056°C
21/03/2019 11:59:01,23.681°C
21/03/2019 12:19:01,23.681°C
21/03/2019 12:39:01,23.931°C
21/03/2019 12:59:01,23.931°C
21/03/2019 13:19:01,23.994°C
21/03/2019 13:39:01,24.056°C
21/03/2019 13:59:01,23.869°C
21/03/2019 14:19:01,23.619°C
21/03/2019 14:39:01,23.681°C
21/03/2019 14:59:01,23.619°C
21/03/2019 15:19:01,23.619°C
21/03/2019 15:39:01,23.744°C
21/03/2019 15:59:01,23.681°C
21/03/2019 16:19:01,23.494°C
