Log Values
Reading , Values
05/12/2018 14:19:01,27.91°C
05/12/2018 14:39:01,27.785°C
05/12/2018 14:59:01,27.66°C
05/12/2018 15:19:01,27.597°C
05/12/2018 15:39:01,27.41°C
05/12/2018 15:59:01,27.41°C
05/12/2018 16:19:01,27.472°C
05/12/2018 16:39:01,27.847°C
05/12/2018 16:59:01,28.16°C
05/12/2018 17:19:01,28.909°C
05/12/2018 17:39:01,28.659°C
05/12/2018 17:59:01,27.722°C
05/12/2018 18:19:01,26.66°C
05/12/2018 18:39:01,26.035°C
05/12/2018 18:59:01,25.598°C
05/12/2018 19:19:01,25.035°C
05/12/2018 19:39:01,24.848°C
05/12/2018 19:59:01,24.91°C
05/12/2018 20:19:01,24.91°C
05/12/2018 20:39:01,25.035°C
05/12/2018 20:59:01,25.41°C
05/12/2018 21:19:01,25.535°C
05/12/2018 21:39:01,25.723°C
05/12/2018 21:59:01,25.723°C
05/12/2018 22:19:01,25.723°C
05/12/2018 22:39:01,25.723°C
05/12/2018 22:59:01,25.848°C
05/12/2018 23:19:01,25.723°C
05/12/2018 23:39:01,25.535°C
05/12/2018 23:59:01,25.473°C
06/12/2018 00:19:01,25.473°C
06/12/2018 00:39:01,25.285°C
06/12/2018 00:59:01,25.285°C
06/12/2018 01:19:01,25.035°C
06/12/2018 01:39:01,24.91°C
06/12/2018 01:59:01,24.973°C
06/12/2018 02:19:01,25.035°C
06/12/2018 02:39:01,25.348°C
06/12/2018 02:59:01,24.973°C
06/12/2018 03:19:01,24.285°C
06/12/2018 03:39:01,23.097°C
06/12/2018 03:59:01,23.097°C
06/12/2018 04:19:01,23.597°C
06/12/2018 04:39:01,23.785°C
06/12/2018 04:59:01,24.035°C
06/12/2018 05:19:01,23.785°C
06/12/2018 05:39:01,23.785°C
06/12/2018 05:59:01,23.034°C
06/12/2018 06:19:01,22.784°C
06/12/2018 06:39:01,23.097°C
06/12/2018 06:59:01,23.222°C
06/12/2018 07:19:01,23.41°C
06/12/2018 07:39:01,23.41°C
06/12/2018 07:59:01,23.66°C
06/12/2018 08:19:01,24.535°C
06/12/2018 08:39:01,25.348°C
06/12/2018 08:59:01,25.473°C
06/12/2018 09:19:01,26.91°C
06/12/2018 09:39:01,27.222°C
06/12/2018 09:59:01,27.972°C
06/12/2018 10:19:01,29.534°C
06/12/2018 10:39:01,30.221°C
06/12/2018 10:59:01,30.033°C
06/12/2018 11:19:01,31.282°C
06/12/2018 11:39:01,32.094°C
06/12/2018 11:59:01,32.967°C
06/12/2018 12:19:01,31.781°C
06/12/2018 12:39:01,31.906°C
06/12/2018 12:59:01,33.092°C
06/12/2018 13:19:01,32.156°C
06/12/2018 13:39:01,31.781°C
06/12/2018 13:59:01,32.094°C
06/12/2018 14:19:01,32.218°C
06/12/2018 14:39:01,31.906°C
06/12/2018 14:59:01,31.719°C
06/12/2018 15:19:01,31.095°C
06/12/2018 15:39:01,30.845°C
06/12/2018 15:59:01,29.471°C
06/12/2018 16:19:01,29.783°C
06/12/2018 16:39:01,29.596°C
06/12/2018 16:59:01,30.845°C
06/12/2018 17:19:01,29.534°C
06/12/2018 17:39:01,28.847°C
06/12/2018 17:59:01,28.472°C
06/12/2018 18:19:01,28.347°C
06/12/2018 18:39:01,28.222°C
06/12/2018 18:59:01,28.035°C
06/12/2018 19:19:01,27.972°C
06/12/2018 19:39:01,27.972°C
06/12/2018 19:59:01,27.972°C
06/12/2018 20:19:01,27.847°C
06/12/2018 20:39:01,27.785°C
06/12/2018 20:59:01,27.535°C
06/12/2018 21:19:01,27.535°C
06/12/2018 21:39:01,26.41°C
06/12/2018 21:59:01,25.785°C
06/12/2018 22:19:01,26.223°C
06/12/2018 22:39:01,26.535°C
06/12/2018 22:59:01,26.723°C
06/12/2018 23:19:01,26.473°C
06/12/2018 23:39:01,24.723°C
06/12/2018 23:59:01,24.473°C
07/12/2018 00:19:01,23.597°C
07/12/2018 00:39:01,23.285°C
07/12/2018 00:59:01,22.847°C
07/12/2018 01:19:01,22.847°C
07/12/2018 01:39:01,22.909°C
07/12/2018 01:59:01,22.909°C
07/12/2018 02:19:01,22.784°C
07/12/2018 02:39:01,22.784°C
07/12/2018 02:59:01,22.534°C
07/12/2018 03:19:01,22.659°C
07/12/2018 03:39:01,23.034°C
07/12/2018 03:59:01,23.535°C
07/12/2018 04:19:01,23.847°C
07/12/2018 04:39:01,23.972°C
07/12/2018 04:59:01,23.347°C
07/12/2018 05:19:01,23.597°C
07/12/2018 05:39:01,23.847°C
07/12/2018 05:59:01,23.972°C
07/12/2018 06:19:01,24.347°C
07/12/2018 06:39:01,25.098°C
07/12/2018 06:59:01,27.222°C
07/12/2018 07:19:01,27.91°C
07/12/2018 07:39:01,29.034°C
07/12/2018 07:59:01,27.285°C
07/12/2018 08:19:01,27.597°C
07/12/2018 08:39:01,27.847°C
07/12/2018 08:59:01,28.722°C
07/12/2018 09:19:01,29.534°C
07/12/2018 09:39:01,29.721°C
07/12/2018 09:59:01,31.22°C
07/12/2018 10:19:01,31.407°C
07/12/2018 10:39:01,30.72°C
07/12/2018 10:59:01,31.157°C
07/12/2018 11:19:01,32.218°C
07/12/2018 11:39:01,32.842°C
07/12/2018 11:59:01,32.156°C
07/12/2018 12:19:01,32.718°C
07/12/2018 12:39:01,31.969°C
07/12/2018 12:59:01,31.095°C
07/12/2018 13:19:01,31.594°C
07/12/2018 13:39:01,30.158°C
07/12/2018 13:59:01,29.783°C
07/12/2018 14:19:01,29.971°C
07/12/2018 14:39:01,29.409°C
07/12/2018 14:59:01,29.284°C
07/12/2018 15:19:01,29.221°C
07/12/2018 15:39:01,28.909°C
07/12/2018 15:59:01,28.035°C
07/12/2018 16:19:01,27.785°C
07/12/2018 16:39:01,27.722°C
07/12/2018 16:59:01,27.535°C
07/12/2018 17:19:01,27.285°C
07/12/2018 17:39:01,26.973°C
07/12/2018 17:59:01,26.785°C
07/12/2018 18:19:01,26.66°C
07/12/2018 18:39:01,26.473°C
07/12/2018 18:59:01,26.16°C
07/12/2018 19:19:01,25.785°C
07/12/2018 19:39:01,24.66°C
07/12/2018 19:59:01,24.222°C
07/12/2018 20:19:01,24.035°C
07/12/2018 20:39:01,23.722°C
07/12/2018 20:59:01,24.097°C
07/12/2018 21:19:01,24.16°C
07/12/2018 21:39:01,23.535°C
07/12/2018 21:59:01,23.41°C
07/12/2018 22:19:01,23.285°C
07/12/2018 22:39:01,23.472°C
07/12/2018 22:59:01,23.597°C
07/12/2018 23:19:01,23.597°C
07/12/2018 23:39:01,23.785°C
07/12/2018 23:59:01,23.847°C
08/12/2018 00:19:01,24.035°C
08/12/2018 00:39:01,24.035°C
08/12/2018 00:59:01,24.222°C
08/12/2018 01:19:01,24.285°C
08/12/2018 01:39:01,24.16°C
08/12/2018 01:59:01,24.285°C
08/12/2018 02:19:01,23.785°C
08/12/2018 02:39:01,23.722°C
08/12/2018 02:59:01,23.722°C
08/12/2018 03:19:01,23.785°C
08/12/2018 03:39:01,23.91°C
08/12/2018 03:59:01,23.91°C
08/12/2018 04:19:01,23.722°C
08/12/2018 04:39:01,23.66°C
08/12/2018 04:59:01,24.66°C
08/12/2018 05:19:01,24.91°C
08/12/2018 05:39:01,24.91°C
08/12/2018 05:59:01,24.473°C
08/12/2018 06:19:01,24.473°C
08/12/2018 06:39:01,24.785°C
08/12/2018 06:59:01,25.598°C
08/12/2018 07:19:01,25.723°C
08/12/2018 07:39:01,25.91°C
08/12/2018 07:59:01,26.848°C
08/12/2018 08:19:01,26.973°C
08/12/2018 08:39:01,26.348°C
08/12/2018 08:59:01,26.848°C
08/12/2018 09:19:01,27.222°C
08/12/2018 09:39:01,27.722°C
08/12/2018 09:59:01,27.91°C
08/12/2018 10:19:01,27.785°C
08/12/2018 10:39:01,28.16°C
08/12/2018 10:59:01,28.597°C
08/12/2018 11:19:01,29.034°C
08/12/2018 11:39:01,29.659°C
08/12/2018 11:59:01,30.595°C
08/12/2018 12:19:01,29.596°C
08/12/2018 12:39:01,29.221°C
08/12/2018 12:59:01,30.845°C
08/12/2018 13:19:01,30.97°C
08/12/2018 13:39:01,30.408°C
08/12/2018 13:59:01,29.534°C
08/12/2018 14:19:01,29.534°C
08/12/2018 14:39:01,29.721°C
08/12/2018 14:59:01,28.847°C
08/12/2018 15:19:01,29.034°C
08/12/2018 15:39:01,28.847°C
08/12/2018 15:59:01,28.847°C
08/12/2018 16:19:01,28.409°C
08/12/2018 16:39:01,28.409°C
08/12/2018 16:59:01,28.347°C
08/12/2018 17:19:01,28.035°C
08/12/2018 17:39:01,28.222°C
08/12/2018 17:59:01,27.847°C
08/12/2018 18:19:01,27.535°C
08/12/2018 18:39:01,27.16°C
08/12/2018 18:59:01,26.785°C
08/12/2018 19:19:01,26.41°C
08/12/2018 19:39:01,26.848°C
08/12/2018 19:59:01,26.91°C
08/12/2018 20:19:01,26.535°C
08/12/2018 20:39:01,26.598°C
08/12/2018 20:59:01,26.348°C
08/12/2018 21:19:01,25.598°C
08/12/2018 21:39:01,25.848°C
08/12/2018 21:59:01,26.723°C
08/12/2018 22:19:01,26.473°C
08/12/2018 22:39:01,25.848°C
08/12/2018 22:59:01,25.348°C
08/12/2018 23:19:01,24.973°C
08/12/2018 23:39:01,25.348°C
08/12/2018 23:59:01,24.66°C
09/12/2018 00:19:01,23.785°C
09/12/2018 00:39:01,23.847°C
09/12/2018 00:59:01,23.66°C
09/12/2018 01:19:01,23.41°C
09/12/2018 01:39:01,23.472°C
09/12/2018 01:59:01,23.66°C
09/12/2018 02:19:01,23.41°C
09/12/2018 02:39:01,23.347°C
09/12/2018 02:59:01,23.285°C
09/12/2018 03:19:01,23.16°C
09/12/2018 03:39:01,23.222°C
09/12/2018 03:59:01,23.347°C
09/12/2018 04:19:01,23.472°C
09/12/2018 04:39:01,23.722°C
09/12/2018 04:59:01,23.972°C
09/12/2018 05:19:01,23.972°C
09/12/2018 05:39:01,23.91°C
09/12/2018 05:59:01,25.285°C
09/12/2018 06:19:01,25.035°C
09/12/2018 06:39:01,25.66°C
09/12/2018 06:59:01,25.973°C
09/12/2018 07:19:01,27.41°C
09/12/2018 07:39:01,28.16°C
09/12/2018 07:59:01,28.784°C
09/12/2018 08:19:01,30.283°C
09/12/2018 08:39:01,31.906°C
09/12/2018 08:59:01,30.72°C
09/12/2018 09:19:01,32.718°C
09/12/2018 09:39:01,31.594°C
09/12/2018 09:59:01,30.72°C
09/12/2018 10:19:01,30.907°C
09/12/2018 10:39:01,30.47°C
09/12/2018 10:59:01,30.345°C
09/12/2018 11:19:01,27.847°C
09/12/2018 11:39:01,28.16°C
09/12/2018 11:59:01,26.973°C
09/12/2018 12:19:01,26.035°C
09/12/2018 12:39:01,25.723°C
09/12/2018 12:59:01,25.473°C
09/12/2018 13:19:01,25.348°C
09/12/2018 13:39:01,25.973°C
09/12/2018 13:59:01,26.223°C
09/12/2018 14:19:01,25.785°C
09/12/2018 14:39:01,24.723°C
09/12/2018 14:59:01,24.41°C
09/12/2018 15:19:01,24.41°C
09/12/2018 15:39:01,24.097°C
09/12/2018 15:59:01,23.91°C
09/12/2018 16:19:01,23.972°C
09/12/2018 16:39:01,23.972°C
09/12/2018 16:59:01,23.847°C
09/12/2018 17:19:01,24.035°C
09/12/2018 17:39:01,23.972°C
09/12/2018 17:59:01,23.847°C
09/12/2018 18:19:01,23.785°C
09/12/2018 18:39:01,23.785°C
09/12/2018 18:59:01,23.785°C
09/12/2018 19:19:01,23.785°C
09/12/2018 19:39:01,23.785°C
09/12/2018 19:59:01,23.91°C
09/12/2018 20:19:01,23.972°C
09/12/2018 20:39:01,23.972°C
09/12/2018 20:59:01,23.972°C
09/12/2018 21:19:01,24.222°C
09/12/2018 21:39:01,24.41°C
09/12/2018 21:59:01,24.41°C
09/12/2018 22:19:01,24.222°C
09/12/2018 22:39:01,24.535°C
09/12/2018 22:59:01,24.785°C
09/12/2018 23:19:01,24.598°C
09/12/2018 23:39:01,24.41°C
09/12/2018 23:59:01,24.285°C
10/12/2018 00:19:01,24.222°C
10/12/2018 00:39:01,24.035°C
10/12/2018 00:59:01,24.097°C
10/12/2018 01:19:01,23.785°C
10/12/2018 01:39:01,23.597°C
10/12/2018 01:59:01,23.41°C
10/12/2018 02:19:01,23.034°C
10/12/2018 02:39:01,23.097°C
10/12/2018 02:59:01,23.16°C
10/12/2018 03:19:01,23.16°C
10/12/2018 03:39:01,22.909°C
10/12/2018 03:59:01,23.034°C
10/12/2018 04:19:01,23.16°C
10/12/2018 04:39:01,23.41°C
10/12/2018 04:59:01,23.535°C
10/12/2018 05:19:01,23.597°C
10/12/2018 05:39:01,23.597°C
10/12/2018 05:59:01,23.66°C
10/12/2018 06:19:01,23.785°C
10/12/2018 06:39:01,23.91°C
10/12/2018 06:59:01,24.222°C
10/12/2018 07:19:01,24.473°C
10/12/2018 07:39:01,25.348°C
10/12/2018 07:59:01,26.035°C
10/12/2018 08:19:01,26.098°C
10/12/2018 08:39:01,26.535°C
10/12/2018 08:59:01,26.973°C
10/12/2018 09:19:01,27.722°C
10/12/2018 09:39:01,27.222°C
10/12/2018 09:59:01,25.973°C
10/12/2018 10:19:01,27.035°C
10/12/2018 10:39:01,26.91°C
10/12/2018 10:59:01,26.473°C
10/12/2018 11:19:01,26.473°C
10/12/2018 11:39:01,25.598°C
10/12/2018 11:59:01,26.598°C
10/12/2018 12:19:01,26.348°C
10/12/2018 12:39:01,26.285°C
10/12/2018 12:59:01,26.035°C
10/12/2018 13:19:01,26.285°C
10/12/2018 13:39:01,26.098°C
10/12/2018 13:59:01,26.16°C
10/12/2018 14:19:01,25.785°C
10/12/2018 14:39:01,26.098°C
10/12/2018 14:59:01,25.848°C
10/12/2018 15:19:01,25.66°C
10/12/2018 15:39:01,25.785°C
10/12/2018 15:59:01,25.723°C
10/12/2018 16:19:01,25.66°C
10/12/2018 16:39:01,25.848°C
10/12/2018 16:59:01,25.785°C
10/12/2018 17:19:01,25.785°C
10/12/2018 17:39:01,25.785°C
10/12/2018 17:59:01,25.91°C
10/12/2018 18:19:01,25.723°C
10/12/2018 18:39:01,25.785°C
10/12/2018 18:59:01,25.785°C
10/12/2018 19:19:01,25.723°C
10/12/2018 19:39:01,25.785°C
10/12/2018 19:59:01,25.785°C
10/12/2018 20:19:01,25.848°C
10/12/2018 20:39:01,25.66°C
10/12/2018 20:59:01,25.66°C
10/12/2018 21:19:01,25.785°C
10/12/2018 21:39:01,25.723°C
10/12/2018 21:59:01,25.535°C
10/12/2018 22:19:01,25.535°C
10/12/2018 22:39:01,25.598°C
10/12/2018 22:59:01,25.535°C
10/12/2018 23:19:01,25.473°C
10/12/2018 23:39:01,25.41°C
10/12/2018 23:59:01,23.535°C
11/12/2018 00:19:01,22.972°C
11/12/2018 00:39:01,23.16°C
11/12/2018 00:59:01,23.41°C
11/12/2018 01:19:01,23.66°C
11/12/2018 01:39:01,23.847°C
11/12/2018 01:59:01,23.972°C
11/12/2018 02:19:01,24.035°C
11/12/2018 02:39:01,24.097°C
11/12/2018 02:59:01,23.91°C
11/12/2018 03:19:01,24.222°C
11/12/2018 03:39:01,24.473°C
11/12/2018 03:59:01,24.535°C
11/12/2018 04:19:01,24.535°C
11/12/2018 04:39:01,24.723°C
11/12/2018 04:59:01,25.098°C
11/12/2018 05:19:01,24.723°C
11/12/2018 05:39:01,24.285°C
11/12/2018 05:59:01,24.473°C
11/12/2018 06:19:01,24.785°C
11/12/2018 06:39:01,25.098°C
11/12/2018 06:59:01,25.098°C
11/12/2018 07:19:01,25.473°C
11/12/2018 07:39:01,27.035°C
11/12/2018 07:59:01,26.848°C
11/12/2018 08:19:01,26.91°C
11/12/2018 08:39:01,28.409°C
11/12/2018 08:59:01,27.347°C
11/12/2018 09:19:01,26.723°C
11/12/2018 09:39:01,27.597°C
